==========================================================================
  AI REVENUE RECOVERY AGENT - FULL END-TO-END DEMO RUN (SEED=42)
  Timestamp: 2026-08-24 22:37:46
==========================================================================

[Step 1/5] Resetting database tables...
Database reset complete.

[Step 2/5] Ingesting synthetic datasets (Payments, Checkouts, Subscriptions, Invoices)...
Ingestion complete: Processed records: {'customers': 200, 'payments': 350, 'checkouts': 250, 'subscriptions': 200, 'invoices': 200}

[Step 3/5] Executing Revenue-at-Risk Detection engine...
Detection complete: Created 381 cases representing $376,590.00 at risk.

[Step 4/5] Processing all detected cases (Classify -> Guardrails -> Simulator)...
Retrieved 381 detected recovery cases from database.

Case #001 | Type=FAILED_PAYMENT     | Amount=$ 1171.99 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,171.99) exceeds max auto-approval threshold ($500.00).
Case #124 | Type=FAILED_PAYMENT     | Amount=$ 1227.18 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,227.18) exceeds max auto-approval threshold ($500.00).
Case #125 | Type=FAILED_PAYMENT     | Amount=$ 1212.22 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,212.22) exceeds max auto-approval threshold ($500.00).
Case #126 | Type=FAILED_PAYMENT     | Amount=$  521.03 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($521.03) exceeds max auto-approval threshold ($500.00).
Case #127 | Type=FAILED_PAYMENT     | Amount=$ 1061.47 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,061.47) exceeds max auto-approval threshold ($500.00).
Case #128 | Type=FAILED_PAYMENT     | Amount=$ 1423.82 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,423.82) exceeds max auto-approval threshold ($500.00).
Case #129 | Type=FAILED_PAYMENT     | Amount=$ 1382.74 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,382.74) exceeds max auto-approval threshold ($500.00).
Case #130 | Type=ABANDONED_CHECKOUT | Amount=$  104.66 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #131 | Type=ABANDONED_CHECKOUT | Amount=$  539.91 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($539.91) exceeds max auto-approval threshold ($500.00).
Case #132 | Type=ABANDONED_CHECKOUT | Amount=$ 1143.20 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,143.20) exceeds max auto-approval threshold ($500.00).
Case #133 | Type=ABANDONED_CHECKOUT | Amount=$ 1074.54 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,074.54) exceeds max auto-approval threshold ($500.00).
Case #134 | Type=ABANDONED_CHECKOUT | Amount=$ 1169.92 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,169.92) exceeds max auto-approval threshold ($500.00).
Case #135 | Type=ABANDONED_CHECKOUT | Amount=$   83.32 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #136 | Type=ABANDONED_CHECKOUT | Amount=$   29.48 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #137 | Type=ABANDONED_CHECKOUT | Amount=$ 1173.04 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,173.04) exceeds max auto-approval threshold ($500.00).
Case #138 | Type=ABANDONED_CHECKOUT | Amount=$  334.37 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #139 | Type=ABANDONED_CHECKOUT | Amount=$  428.95 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #140 | Type=ABANDONED_CHECKOUT | Amount=$  228.13 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #141 | Type=ABANDONED_CHECKOUT | Amount=$  117.08 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #142 | Type=ABANDONED_CHECKOUT | Amount=$  595.56 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($595.56) exceeds max auto-approval threshold ($500.00).
Case #143 | Type=ABANDONED_CHECKOUT | Amount=$  194.03 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #144 | Type=ABANDONED_CHECKOUT | Amount=$ 1070.25 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,070.25) exceeds max auto-approval threshold ($500.00).
Case #145 | Type=ABANDONED_CHECKOUT | Amount=$ 1106.98 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,106.98) exceeds max auto-approval threshold ($500.00).
Case #146 | Type=ABANDONED_CHECKOUT | Amount=$  129.91 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #147 | Type=ABANDONED_CHECKOUT | Amount=$ 1058.22 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,058.22) exceeds max auto-approval threshold ($500.00).
Case #148 | Type=ABANDONED_CHECKOUT | Amount=$  618.52 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($618.52) exceeds max auto-approval threshold ($500.00).
Case #149 | Type=ABANDONED_CHECKOUT | Amount=$  599.32 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.32) exceeds max auto-approval threshold ($500.00).
Case #150 | Type=ABANDONED_CHECKOUT | Amount=$  941.30 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($941.30) exceeds max auto-approval threshold ($500.00).
Case #151 | Type=ABANDONED_CHECKOUT | Amount=$  341.17 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #152 | Type=ABANDONED_CHECKOUT | Amount=$  862.47 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($862.47) exceeds max auto-approval threshold ($500.00).
Case #153 | Type=ABANDONED_CHECKOUT | Amount=$ 1025.61 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,025.61) exceeds max auto-approval threshold ($500.00).
Case #154 | Type=ABANDONED_CHECKOUT | Amount=$ 1199.33 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,199.33) exceeds max auto-approval threshold ($500.00).
Case #155 | Type=ABANDONED_CHECKOUT | Amount=$  777.70 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($777.70) exceeds max auto-approval threshold ($500.00).
Case #156 | Type=ABANDONED_CHECKOUT | Amount=$ 1048.25 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,048.25) exceeds max auto-approval threshold ($500.00).
Case #157 | Type=ABANDONED_CHECKOUT | Amount=$ 1074.09 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,074.09) exceeds max auto-approval threshold ($500.00).
Case #158 | Type=ABANDONED_CHECKOUT | Amount=$  177.05 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #159 | Type=ABANDONED_CHECKOUT | Amount=$  475.40 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #160 | Type=ABANDONED_CHECKOUT | Amount=$  761.36 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($761.36) exceeds max auto-approval threshold ($500.00).
Case #161 | Type=ABANDONED_CHECKOUT | Amount=$  273.15 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #162 | Type=ABANDONED_CHECKOUT | Amount=$  860.55 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($860.55) exceeds max auto-approval threshold ($500.00).
Case #163 | Type=ABANDONED_CHECKOUT | Amount=$  757.18 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($757.18) exceeds max auto-approval threshold ($500.00).
Case #164 | Type=ABANDONED_CHECKOUT | Amount=$   81.68 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #165 | Type=ABANDONED_CHECKOUT | Amount=$  321.97 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #166 | Type=ABANDONED_CHECKOUT | Amount=$  342.22 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #167 | Type=ABANDONED_CHECKOUT | Amount=$  626.11 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($626.11) exceeds max auto-approval threshold ($500.00).
Case #168 | Type=ABANDONED_CHECKOUT | Amount=$  609.84 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($609.84) exceeds max auto-approval threshold ($500.00).
Case #169 | Type=ABANDONED_CHECKOUT | Amount=$ 1168.42 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,168.42) exceeds max auto-approval threshold ($500.00).
Case #170 | Type=ABANDONED_CHECKOUT | Amount=$  669.06 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($669.06) exceeds max auto-approval threshold ($500.00).
Case #171 | Type=ABANDONED_CHECKOUT | Amount=$   39.98 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #172 | Type=ABANDONED_CHECKOUT | Amount=$ 1052.12 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,052.12) exceeds max auto-approval threshold ($500.00).
Case #173 | Type=ABANDONED_CHECKOUT | Amount=$  161.18 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #174 | Type=ABANDONED_CHECKOUT | Amount=$  134.22 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #175 | Type=ABANDONED_CHECKOUT | Amount=$  344.40 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #176 | Type=ABANDONED_CHECKOUT | Amount=$  940.52 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($940.52) exceeds max auto-approval threshold ($500.00).
Case #177 | Type=ABANDONED_CHECKOUT | Amount=$  542.81 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($542.81) exceeds max auto-approval threshold ($500.00).
Case #178 | Type=ABANDONED_CHECKOUT | Amount=$ 1045.29 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,045.29) exceeds max auto-approval threshold ($500.00).
Case #179 | Type=ABANDONED_CHECKOUT | Amount=$ 1073.17 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,073.17) exceeds max auto-approval threshold ($500.00).
Case #180 | Type=ABANDONED_CHECKOUT | Amount=$  401.74 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #181 | Type=ABANDONED_CHECKOUT | Amount=$  966.48 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($966.48) exceeds max auto-approval threshold ($500.00).
Case #182 | Type=ABANDONED_CHECKOUT | Amount=$ 1177.29 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,177.29) exceeds max auto-approval threshold ($500.00).
Case #183 | Type=ABANDONED_CHECKOUT | Amount=$  679.63 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($679.63) exceeds max auto-approval threshold ($500.00).
Case #184 | Type=ABANDONED_CHECKOUT | Amount=$ 1158.21 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,158.21) exceeds max auto-approval threshold ($500.00).
Case #185 | Type=ABANDONED_CHECKOUT | Amount=$   78.79 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #186 | Type=ABANDONED_CHECKOUT | Amount=$ 1009.02 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,009.02) exceeds max auto-approval threshold ($500.00).
Case #187 | Type=ABANDONED_CHECKOUT | Amount=$ 1101.19 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,101.19) exceeds max auto-approval threshold ($500.00).
Case #188 | Type=ABANDONED_CHECKOUT | Amount=$ 1066.56 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,066.56) exceeds max auto-approval threshold ($500.00).
Case #189 | Type=ABANDONED_CHECKOUT | Amount=$  864.40 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($864.40) exceeds max auto-approval threshold ($500.00).
Case #190 | Type=ABANDONED_CHECKOUT | Amount=$  788.85 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($788.85) exceeds max auto-approval threshold ($500.00).
Case #191 | Type=ABANDONED_CHECKOUT | Amount=$  259.89 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #192 | Type=ABANDONED_CHECKOUT | Amount=$  836.45 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($836.45) exceeds max auto-approval threshold ($500.00).
Case #193 | Type=ABANDONED_CHECKOUT | Amount=$   88.22 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #194 | Type=ABANDONED_CHECKOUT | Amount=$  112.50 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #195 | Type=ABANDONED_CHECKOUT | Amount=$  528.50 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($528.50) exceeds max auto-approval threshold ($500.00).
Case #196 | Type=ABANDONED_CHECKOUT | Amount=$   31.63 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #197 | Type=ABANDONED_CHECKOUT | Amount=$  726.33 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($726.33) exceeds max auto-approval threshold ($500.00).
Case #198 | Type=ABANDONED_CHECKOUT | Amount=$  671.44 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($671.44) exceeds max auto-approval threshold ($500.00).
Case #199 | Type=ABANDONED_CHECKOUT | Amount=$  656.02 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($656.02) exceeds max auto-approval threshold ($500.00).
Case #200 | Type=ABANDONED_CHECKOUT | Amount=$  648.34 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($648.34) exceeds max auto-approval threshold ($500.00).
Case #201 | Type=ABANDONED_CHECKOUT | Amount=$  548.66 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($548.66) exceeds max auto-approval threshold ($500.00).
Case #202 | Type=ABANDONED_CHECKOUT | Amount=$  827.00 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($827.00) exceeds max auto-approval threshold ($500.00).
Case #203 | Type=ABANDONED_CHECKOUT | Amount=$  875.67 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($875.67) exceeds max auto-approval threshold ($500.00).
Case #204 | Type=ABANDONED_CHECKOUT | Amount=$  548.53 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($548.53) exceeds max auto-approval threshold ($500.00).
Case #205 | Type=ABANDONED_CHECKOUT | Amount=$  121.76 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #206 | Type=ABANDONED_CHECKOUT | Amount=$ 1057.40 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,057.40) exceeds max auto-approval threshold ($500.00).
Case #207 | Type=ABANDONED_CHECKOUT | Amount=$   88.76 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #208 | Type=ABANDONED_CHECKOUT | Amount=$  713.09 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($713.09) exceeds max auto-approval threshold ($500.00).
Case #209 | Type=ABANDONED_CHECKOUT | Amount=$  473.16 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #210 | Type=ABANDONED_CHECKOUT | Amount=$  185.25 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #211 | Type=ABANDONED_CHECKOUT | Amount=$  675.39 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($675.39) exceeds max auto-approval threshold ($500.00).
Case #212 | Type=ABANDONED_CHECKOUT | Amount=$  726.07 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($726.07) exceeds max auto-approval threshold ($500.00).
Case #213 | Type=ABANDONED_CHECKOUT | Amount=$  896.18 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($896.18) exceeds max auto-approval threshold ($500.00).
Case #214 | Type=ABANDONED_CHECKOUT | Amount=$  253.33 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #215 | Type=ABANDONED_CHECKOUT | Amount=$  597.45 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($597.45) exceeds max auto-approval threshold ($500.00).
Case #216 | Type=ABANDONED_CHECKOUT | Amount=$ 1151.42 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,151.42) exceeds max auto-approval threshold ($500.00).
Case #217 | Type=ABANDONED_CHECKOUT | Amount=$  861.83 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($861.83) exceeds max auto-approval threshold ($500.00).
Case #218 | Type=ABANDONED_CHECKOUT | Amount=$  597.19 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($597.19) exceeds max auto-approval threshold ($500.00).
Case #219 | Type=ABANDONED_CHECKOUT | Amount=$  114.84 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #220 | Type=ABANDONED_CHECKOUT | Amount=$  886.54 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($886.54) exceeds max auto-approval threshold ($500.00).
Case #221 | Type=ABANDONED_CHECKOUT | Amount=$  299.97 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #222 | Type=ABANDONED_CHECKOUT | Amount=$  405.78 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #223 | Type=ABANDONED_CHECKOUT | Amount=$  698.85 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($698.85) exceeds max auto-approval threshold ($500.00).
Case #224 | Type=ABANDONED_CHECKOUT | Amount=$  632.05 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($632.05) exceeds max auto-approval threshold ($500.00).
Case #225 | Type=ABANDONED_CHECKOUT | Amount=$ 1191.51 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,191.51) exceeds max auto-approval threshold ($500.00).
Case #226 | Type=ABANDONED_CHECKOUT | Amount=$  639.19 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($639.19) exceeds max auto-approval threshold ($500.00).
Case #227 | Type=ABANDONED_CHECKOUT | Amount=$  799.79 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($799.79) exceeds max auto-approval threshold ($500.00).
Case #228 | Type=ABANDONED_CHECKOUT | Amount=$  844.73 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($844.73) exceeds max auto-approval threshold ($500.00).
Case #229 | Type=ABANDONED_CHECKOUT | Amount=$  266.37 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #230 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #231 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #232 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #233 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #234 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #235 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #236 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #237 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #238 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #239 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #240 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #241 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #242 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #243 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #244 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #245 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #246 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #247 | Type=FAILED_SUBSCRIPTION | Amount=$   79.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #248 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #249 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #250 | Type=FAILED_SUBSCRIPTION | Amount=$   79.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
